Time	Iteration	AverageReturn1	StdReturn1	MaxReturn1	MinReturn1	AverageReturn2	StdReturn2	MaxReturn2	MinReturn2	EpLenMean	EpLenStd	NumPathsThisBatch	NumPathsSoFar	TimestepsThisBatch	TimestepsSoFar
4.182268142700195	0	-507.590648458	96.7546189724	-289.359107933	-694.30193971	-543.849789994	79.853343391	-318.242838209	-693.952465325	20.0	0.0	65	65	1300	1300
5.432177305221558	1	-453.353377395	67.0871765931	-305.911367635	-576.982784096	-401.946790101	117.021701667	-201.137920992	-594.122244735	20.0	0.0	65	130	1300	2600
6.514944553375244	2	-452.267432994	68.3893718579	-304.932168211	-617.126136315	-322.965176657	69.0398511124	-171.179001639	-527.993927143	20.0	0.0	65	195	1300	3900
7.61773419380188	3	-446.568776497	68.6809781397	-311.267614892	-664.626546035	-309.510567874	59.0569224556	-191.550550527	-429.861210321	20.0	0.0	65	260	1300	5200
8.716511964797974	4	-437.756976587	68.9833605603	-309.265223521	-617.751249744	-287.13700848	56.1576221441	-183.291301603	-417.549644604	20.0	0.0	65	325	1300	6500
9.810303688049316	5	-430.619610679	46.5419121227	-350.696794267	-573.970871182	-265.814705998	56.4426384119	-163.351145829	-448.535970761	20.0	0.0	65	390	1300	7800
10.911098957061768	6	-409.639911219	71.8232043515	-260.141479341	-625.717280295	-260.087906165	47.1017727903	-140.885981071	-383.53391347	20.0	0.0	65	455	1300	9100
11.999873399734497	7	-390.523261904	57.0840080746	-268.273209569	-548.413931534	-275.4557845	50.7116036427	-161.27848526	-404.077065819	20.0	0.0	65	520	1300	10400
13.092640399932861	8	-345.459404908	61.9635388308	-242.731685672	-485.86587658	-304.503120933	40.281668938	-215.39658132	-396.662254265	20.0	0.0	65	585	1300	11700
14.18840742111206	9	-321.203731392	61.9964745868	-175.886661585	-495.949240399	-299.882147989	48.1502240597	-208.724246057	-422.565578371	20.0	0.0	65	650	1300	13000
15.297200441360474	10	-283.569358922	57.1168001012	-174.987335557	-460.995011647	-315.502165875	46.5119034041	-226.838972605	-461.873748073	20.0	0.0	65	715	1300	14300
16.39197063446045	11	-250.265635231	51.9703694338	-118.199102334	-376.559385961	-303.820489125	44.6929229412	-210.221543976	-414.191805217	20.0	0.0	65	780	1300	15600
17.488747358322144	12	-205.436736013	47.8046857413	-107.138554394	-315.416782883	-312.25749657	54.0525442549	-196.511142493	-418.971751668	20.0	0.0	65	845	1300	16900
18.586525678634644	13	-173.643592395	51.726772385	-61.1921027976	-279.543158211	-300.29374491	54.8934870334	-170.338240309	-483.159134864	20.0	0.0	65	910	1300	18200
19.683318614959717	14	-146.178290951	46.1027461867	-46.0560418083	-258.418024043	-317.889920936	75.2486928557	-143.375740356	-478.784025097	20.0	0.0	65	975	1300	19500
20.774091005325317	15	-120.83060391	49.6157374731	-39.4593474377	-279.399748579	-305.272513452	65.2892704007	-124.833188709	-427.896875742	20.0	0.0	65	1040	1300	20800
21.871854782104492	16	-105.096224409	50.8654412121	-14.3674496399	-216.866178005	-278.542452849	62.9038158309	-163.920733939	-418.633660666	20.0	0.0	65	1105	1300	22100
22.978657007217407	17	-100.05625167	47.6539704889	16.6138008975	-214.722418036	-296.719179527	78.592586136	-69.9069277874	-479.35218815	20.0	0.0	65	1170	1300	23400
24.0904278755188	18	-83.074983764	49.8615749064	27.5440869516	-189.33004664	-267.656892705	70.8184754325	-125.291162753	-457.753789087	20.0	0.0	65	1235	1300	24700
25.217241525650024	19	-76.9736284683	45.4869713354	25.789195224	-167.400703813	-262.832981741	74.2120955534	-119.928399183	-443.470382162	20.0	0.0	65	1300	1300	26000
26.325029134750366	20	-57.2445376607	51.4194840791	40.8932004495	-208.940623289	-221.768697233	62.1962549215	-90.7686097567	-381.648387054	20.0	0.0	65	1365	1300	27300
27.424792528152466	21	-42.4484108637	47.4610407773	99.4621328467	-172.74327058	-193.380925645	71.1345720908	-41.5450400024	-340.419117497	20.0	0.0	65	1430	1300	28600
28.52957558631897	22	-35.307125028	41.6773046624	57.5579766149	-161.658604423	-183.730763483	64.9116746313	-39.8946863881	-354.432532632	20.0	0.0	65	1495	1300	29900
29.64836812019348	23	-47.9557990225	48.0575274175	43.6547377454	-152.983890018	-164.312720065	69.7221176029	-5.14820129036	-344.45978164	20.0	0.0	65	1560	1300	31200
30.735151529312134	24	-42.2183731959	43.1463025815	72.8494138137	-153.865926176	-149.049997934	63.0748662359	-21.105834506	-308.817841219	20.0	0.0	65	1625	1300	32500
31.830915212631226	25	-37.9523133126	49.6191581622	82.7756553212	-174.014613427	-135.672215005	63.485592847	-6.9088819563	-333.129711024	20.0	0.0	65	1690	1300	33800
32.924705505371094	26	-40.8317155099	43.5155715519	62.8533037787	-173.908828986	-123.542146322	47.1166671082	-16.3797993556	-256.250804996	20.0	0.0	65	1755	1300	35100
34.012463092803955	27	-40.2612662596	52.7055867014	63.4760359723	-192.034005933	-122.261117706	58.2275547119	14.2649504905	-273.946041786	20.0	0.0	65	1820	1300	36400
35.111242055892944	28	-26.4312287128	43.5144947972	72.8385046423	-126.538273809	-103.883484334	62.2395487143	49.2972879671	-240.494325097	20.0	0.0	65	1885	1300	37700
36.200013637542725	29	-30.5967000382	56.1794058004	139.929817184	-179.575379521	-102.326068233	56.7478470633	18.6970013777	-229.467795068	20.0	0.0	65	1950	1300	39000
37.27977919578552	30	-9.82901461933	41.3964266455	106.829269885	-119.314442815	-75.985737579	55.3431581874	24.216011897	-228.116859679	20.0	0.0	65	2015	1300	40300
38.37656903266907	31	-8.87182472346	46.9225328882	109.060857532	-104.243325346	-71.1024285809	52.3642077847	55.6091498125	-194.503021363	20.0	0.0	65	2080	1300	41600
39.455320596694946	32	4.50655691013	39.8787551444	85.9346391425	-76.0897280564	-53.1160170445	59.7419861291	64.9796340471	-188.740899242	20.0	0.0	65	2145	1300	42900
40.55412316322327	33	-12.5576003873	43.4879417522	96.2850028864	-113.041314335	-36.3791621365	50.9030252447	54.9701699697	-171.240487996	20.0	0.0	65	2210	1300	44200
41.67691922187805	34	-13.4935905195	45.8569067261	106.521886642	-86.7376214933	-19.9554346103	52.356083394	103.624622957	-151.443179816	20.0	0.0	65	2275	1300	45500
42.76770806312561	35	-2.97451725519	50.2207249783	96.25608571	-130.867498434	-3.79609555449	57.5730075982	126.772885455	-122.188092219	20.0	0.0	65	2340	1300	46800
43.917511224746704	36	-11.329070721	54.0878357339	108.357041614	-158.08299274	-2.86109591963	58.4645539245	127.924599896	-143.004388023	20.0	0.0	65	2405	1300	48100
45.05133295059204	37	-8.94394284279	58.9539830458	92.5123068927	-168.555430118	17.8114010883	48.1330406079	176.842967928	-88.9516939229	20.0	0.0	65	2470	1300	49400
46.14108419418335	38	-16.3989953311	58.3248799461	81.2795401738	-172.663854319	18.0148846846	54.7322421066	170.886087602	-97.8770785209	20.0	0.0	65	2535	1300	50700
47.26789712905884	39	-15.2717846164	62.1063066445	108.706522421	-160.31263749	40.9940740734	60.8225866393	174.454280878	-159.48870263	20.0	0.0	65	2600	1300	52000
48.36867690086365	40	-6.67927507839	52.3168736268	81.8860847784	-139.53233361	33.1074688593	55.9117733912	211.841062411	-92.1459089311	20.0	0.0	65	2665	1300	53300
49.48947238922119	41	-13.0039042942	50.9989672021	87.6203461926	-164.528046239	43.9146091035	51.7999220137	154.489986906	-82.6064497174	20.0	0.0	65	2730	1300	54600
50.588250398635864	42	-41.3482170392	54.8536106716	77.5641233881	-211.897654323	32.5876243749	45.4673867957	141.379981431	-54.5818064966	20.0	0.0	65	2795	1300	55900
51.68801760673523	43	-39.1954603512	66.1021312824	133.983955315	-201.535249636	41.3191718464	53.6466595052	190.829489929	-64.0836118399	20.0	0.0	65	2860	1300	57200
52.79580235481262	44	-49.8712918021	52.2383697481	85.5560091654	-169.893831245	45.4770477946	53.0485024679	193.958005917	-54.8549756046	20.0	0.0	65	2925	1300	58500
53.88258600234985	45	-63.603435815	62.4968994859	54.5616509524	-234.788816951	39.4430230616	47.7147125661	137.002484852	-67.972052489	20.0	0.0	65	2990	1300	59800
54.97734975814819	46	-69.016198589	63.7598054443	57.3843496493	-238.055833333	46.3924238077	51.7986084659	151.299897733	-77.1299630975	20.0	0.0	65	3055	1300	61100
56.07712960243225	47	-72.5991848367	64.4448375422	30.6339498655	-240.016786786	52.2097174765	50.7840580314	145.548718836	-32.4876245236	20.0	0.0	65	3120	1300	62400
57.17490768432617	48	-59.6447374802	55.9880948534	23.430805663	-219.930306963	53.1703216154	51.9023784923	200.641903744	-45.8735386961	20.0	0.0	65	3185	1300	63700
58.28069090843201	49	-63.0308347068	57.4997403821	51.953611367	-229.550679233	66.0758580622	53.7869742058	174.675348459	-57.0138132639	20.0	0.0	65	3250	1300	65000
59.38248562812805	50	-68.8290155377	65.7848258349	46.8302226501	-254.925447332	69.2655609323	51.9860694869	171.668200726	-56.4214320071	20.0	0.0	65	3315	1300	66300
60.48026394844055	51	-76.1507050028	59.2566213736	40.4289311112	-265.467060696	68.6474906003	42.6817205982	190.639236102	-0.896841301404	20.0	0.0	65	3380	1300	67600
61.58806276321411	52	-65.7628414586	58.7381075833	40.7697093036	-221.948630252	61.4198788863	51.0922682644	167.041038551	-51.7882168665	20.0	0.0	65	3445	1300	68900
62.693851709365845	53	-67.8345792322	56.1724649318	58.3136561277	-205.025707678	66.0873090402	43.3108585179	165.200621598	-23.4922815543	20.0	0.0	65	3510	1300	70200
63.80362010002136	54	-68.782217936	66.8579573361	64.7544507928	-231.605200257	62.3603782889	43.8187516275	170.651634344	-32.2958009868	20.0	0.0	65	3575	1300	71500
64.90541505813599	55	-56.9167586584	57.1052159724	34.2558533378	-185.453669795	59.3372493167	42.5624541898	134.497584185	-41.9443313906	20.0	0.0	65	3640	1300	72800
66.00420045852661	56	-56.6978556932	49.7108231663	29.9158644223	-208.435298232	54.4817577301	43.192520633	129.743866118	-41.7405838481	20.0	0.0	65	3705	1300	74100
67.11196660995483	57	-54.1255000315	51.2597437248	46.4616671387	-181.252757882	48.3671906713	39.6938326731	129.057003334	-32.1484984731	20.0	0.0	65	3770	1300	75400
68.2227532863617	58	-56.1058941821	54.8602494783	63.0915181228	-159.569815767	57.4648357887	35.1989469191	115.138646792	-39.4578365554	20.0	0.0	65	3835	1300	76700
69.3255364894867	59	-52.9379953195	57.4233596861	88.5029141017	-198.541924325	53.9776158515	40.9563268189	152.986053203	-30.1266788371	20.0	0.0	65	3900	1300	78000
70.44133973121643	60	-43.349579097	45.5819578227	60.1579334346	-153.944892275	55.3380009265	34.3781977179	129.737266712	-25.2766601304	20.0	0.0	65	3965	1300	79300
71.53610229492188	61	-74.2070912796	64.7528716462	52.9255199533	-200.323484801	50.7349810406	31.786277606	119.994954717	-52.0956389565	20.0	0.0	65	4030	1300	80600
72.64890456199646	62	-63.6930234727	45.7232815431	19.4698235385	-175.843872611	58.2904489874	28.8610509195	126.434305106	-5.23437087478	20.0	0.0	65	4095	1300	81900
